frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
235,76,0.2251306027173996,76,0,0,98,76,2651.3614654541016,0.3771647182134515,699.61474609375
236,94,0.20713366568088531,94,0,0,90,94,2726.1552810668945,0.3668169626818341,699.61474609375
237,79,0.24264101684093475,79,0,0,90,79,1672.7092266082764,0.5978325366373943,699.61474609375
238,89,0.2328483760356903,89,0,0,93,89,2824.0227699279785,0.3541047935762583,699.61474609375
239,73,0.27179431915283203,73,0,0,92,73,2358.9940071105957,0.42390951269301697,699.61474609375
240,88,0.23447270691394806,88,0,0,104,88,2209.364414215088,0.4526188588745175,699.61474609375
241,80,0.23446770012378693,80,0,0,103,80,1872.4889755249023,0.5340485381067073,699.61474609375
242,65,0.2601377069950104,65,0,0,93,65,1241.1274909973145,0.8057189992596528,699.61474609375
243,95,0.20768886804580688,95,0,0,108,95,3498.4889030456543,0.28583769384817465,699.61474609375
244,74,0.23169450461864471,74,0,0,101,74,1908.2930088043213,0.5240285403689499,699.61474609375
245,77,0.23992659151554108,77,0,0,93,77,1788.8169288635254,0.5590286987250964,699.61474609375
246,78,0.2464503049850464,78,0,0,95,78,2656.3522815704346,0.376456092415875,699.61474609375
247,81,0.2107938826084137,81,0,0,99,81,2943.5293674468994,0.3397282225410105,699.61474609375
248,74,0.2634933888912201,74,0,0,95,74,2540.328025817871,0.39364994986348073,699.61474609375
249,72,0.2342916578054428,72,0,0,87,72,4044.0056324005127,0.24727957646448734,699.61474609375
250,70,0.23505058884620667,70,0,0,76,70,2195.4050064086914,0.45549682044126777,699.61474609375
251,76,0.20779219269752502,76,0,0,85,76,3355.090379714966,0.2980545639086348,699.61474609375
252,84,0.21162021160125732,84,0,0,95,84,2915.515899658203,0.34299247008642064,699.61474609375
253,73,0.22823190689086914,73,0,0,95,73,1242.0954704284668,0.8050910930824385,699.61474609375
254,60,0.2395976185798645,60,0,0,83,60,1382.4653625488281,0.7233454284571129,699.61474609375
255,66,0.2681308686733246,66,0,0,74,66,1514.5792961120605,0.6602493527852978,699.61474609375
256,90,0.2255195677280426,90,0,0,88,90,2610.9652519226074,0.38300011816076107,699.61474609375
257,81,0.22440677881240845,81,0,0,106,81,1938.0428791046143,0.515984455649405,699.61474609375
258,77,0.22281591594219208,77,0,0,96,77,2562.31951713562,0.39027139016522244,699.61474609375
259,75,0.21937894821166992,75,0,0,93,75,1327.1703720092773,0.753482763848958,699.61474609375
260,78,0.2225765585899353,78,0,0,93,78,1559.1835975646973,0.6413612877674629,699.61474609375
261,83,0.2314537763595581,83,0,0,97,83,3563.044786453247,0.2806588353315164,699.61474609375
262,99,0.21626484394073486,99,0,0,113,99,3129.5089721679688,0.31953894649078113,699.61474609375
263,92,0.2466200888156891,92,0,0,111,92,3046.8220710754395,0.32821082973415283,699.61474609375
264,89,0.256479412317276,89,0,0,105,89,1728.4467220306396,0.5785541360656838,699.61474609375
265,105,0.2290983349084854,105,0,0,113,105,3970.893144607544,0.2518325131357402,699.61474609375
266,101,0.22718162834644318,101,0,0,121,101,2811.8107318878174,0.35564271402030373,699.61474609375
267,87,0.23409470915794373,87,0,0,117,87,2481.3003540039062,0.40301449132764916,699.61474609375
268,69,0.27045711874961853,69,0,0,90,69,2998.157024383545,0.33353823427764306,699.61474609375
269,83,0.26921629905700684,83,0,0,98,83,3788.545608520508,0.2639535334485566,699.61474609375
270,84,0.2534305155277252,84,0,0,103,84,4078.275203704834,0.24520169680838813,699.61474609375
271,93,0.2516201436519623,93,0,0,101,93,2735.600471496582,0.3655504560769884,699.61474609375
272,99,0.23282867670059204,99,0,0,116,99,2561.997413635254,0.3903204564836332,699.61474609375
273,90,0.23484541475772858,90,0,0,112,90,2901.287078857422,0.3446746126184168,699.61474609375
274,99,0.22495867311954498,99,0,0,101,99,2800.769567489624,0.3570447249954649,699.61474609375
275,96,0.24091266095638275,96,0,0,112,96,3269.5140838623047,0.30585584718408415,699.61474609375
276,94,0.25487855076789856,94,0,0,114,94,4832.909345626831,0.20691470261176592,699.61474609375
277,103,0.23396429419517517,103,0,0,110,103,5492.079019546509,0.18208041006711004,699.61474609375
278,105,0.2521015405654907,105,0,0,125,105,3879.079580307007,0.2577931128499446,699.61474609375
279,119,0.2359626442193985,119,0,0,129,119,5019.991636276245,0.1992035191400807,699.61474609375
280,97,0.24435049295425415,97,0,0,123,97,1996.3932037353516,0.5009033281264181,699.61474609375
281,126,0.20300322771072388,126,0,0,132,126,4964.947938919067,0.20141198101217409,699.61474609375
282,119,0.20196354389190674,119,0,0,137,119,5065.9496784210205,0.1973963547762055,699.61474609375
283,120,0.23158429563045502,120,0,0,133,120,4392.048120498657,0.227684208497803,699.61474609375
284,116,0.21205563843250275,116,0,0,140,116,3803.0083179473877,0.2629497272674212,699.61474609375
285,92,0.2297900915145874,92,0,0,128,92,3802.2301197052,0.26300354489789096,699.61474609375
286,119,0.21697045862674713,119,0,0,132,119,2798.2168197631836,0.35737044854323735,699.61474609375
287,100,0.22847740352153778,100,0,0,141,100,2419.335126876831,0.4133367010179034,699.61474609375
288,98,0.22157807648181915,98,0,0,121,98,3226.492166519165,0.30993411680240635,699.61474609375
289,97,0.2417760044336319,97,0,0,113,97,3238.724946975708,0.3087634845107149,699.61474609375
290,76,0.27561336755752563,76,0,0,100,76,2010.6048583984375,0.4973627691303589,699.61474609375
